,movie_name,avg_rating,year
1647,Blame It on Rio (1984),2.63,1984
1648,Wisdom (1986),2.50,1986
1649,One Crazy Summer (1986),3.31,1986
1650,About Last Night... (1986),3.08,1986
1651,"Seventh Sign, The (1988)",3.11,1988
1652,We're No Angels (1989),2.69,1989
1653,Nothing But Trouble (1991),2.04,1991
1654,"Butcher's Wife, The (1991)",2.85,1991
1655,Mortal Thoughts (1991),3.04,1991
1656,"Few Good Men, A (1992)",3.81,1992
1657,Indecent Proposal (1993),2.79,1993
1658,Permanent Midnight (1998),3.22,1998
1659,One True Thing (1998),3.48,1998
1660,Rush Hour (1998),3.40,1998
1661,Six-String Samurai (1998),3.38,1998
1662,"Soldier's Daughter Never Cries, A (1998)",3.48,1998
1663,Ronin (1998),3.57,1998
1664,Urban Legend (1998),2.64,1998
1665,Clay Pigeons (1998),3.33,1998
1666,Pecker (1998),3.41,1998
1667,"Sheltering Sky, The (1990)",3.20,1990
1668,Bandit Queen (1994),3.71,1994
1669,If.... (1968),3.79,1968
1670,Them! (1954),3.49,1954
1671,"Thing, The (1982)",3.80,1982
1672,"Player, The (1992)",3.95,1992
1673,Stardust Memories (1980),3.49,1980
1674,Edward Scissorhands (1990),3.73,1990
1675,Antz (1998),3.30,1998
1676,"Impostors, The (1998)",3.44,1998
1677,"Night at the Roxbury, A (1998)",2.65,1998
1678,What Dreams May Come (1998),3.26,1998
1679,"Producers, The (1968)",3.92,1968
1680,History of the World: Part I (1981),3.60,1981
1681,My Cousin Vinny (1992),3.58,1992
1682,Nashville (1975),3.92,1975
1683,Holy Man (1998),2.49,1998
1684,"Mighty, The (1998)",3.59,1998
1685,2010: The Year We Make Contact (1984),3.39,1984
1686,Children of a Lesser God (1986),3.72,1986
1687,"Elephant Man, The (1980)",3.92,1980
1688,Beloved (1998),2.90,1998
1689,Bride of Chucky (Child's Play 4) (1998),2.14,1998
1690,Practical Magic (1998),3.02,1998
1691,Happiness (1998),3.85,1998
1692,Apt Pupil (1998),3.10,1998
1693,Pleasantville (1998),3.58,1998
1694,Soldier (1998),2.84,1998
1695,Life Is Beautiful (La Vita è bella) (1997),4.18,1997
1696,Orgazmo (1997),3.09,1997
1697,Tales from the Darkside: The Movie (1990),2.84,1990
1698,Vampires (1998),2.77,1998
1699,American History X (1998),4.15,1998
1700,Hands on a Hard Body (1996),4.08,1996
1701,Living Out Loud (1998),3.35,1998
1702,Gods and Monsters (1998),3.82,1998
1703,"Siege, The (1998)",3.10,1998
1704,"Waterboy, The (1998)",2.92,1998
1705,Elizabeth (1998),3.90,1998
1706,Velvet Goldmine (1998),3.34,1998
1707,I Still Know What You Did Last Summer (1998),2.09,1998
1708,I'll Be Home For Christmas (1998),2.56,1998
1709,Meet Joe Black (1998),3.29,1998
1710,Dancing at Lughnasa (1998),3.22,1998
1711,Runaway Train (1985),3.52,1985
1712,Desert Bloom (1986),3.51,1986
1713,"Stepford Wives, The (1975)",3.29,1975
1714,"Pope of Greenwich Village, The (1984)",3.44,1984
1715,Sid and Nancy (1986),3.55,1986
1716,Mona Lisa (1986),3.74,1986
1717,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.14,1957
1718,"Big Chill, The (1983)",3.74,1983
1719,Enemy of the State (1998),3.55,1998
1720,"Rugrats Movie, The (1998)",2.62,1998
1721,"Bug's Life, A (1998)",3.61,1998
1722,Celebrity (1998),2.96,1998
1723,Central Station (Central do Brasil) (1998),4.10,1998
1724,Waking Ned Devine (a.k.a. Waking Ned) (1998),3.80,1998
1725,"Celebration, The (Festen) (1998)",4.12,1998
1726,Pink Flamingos (1972),3.30,1972
1727,Glen or Glenda (1953),2.76,1953
1728,Godzilla (Gojira) (1954),3.20,1954
1729,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",2.66,1984
1730,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),2.74,1962
1731,King Kong (1933),3.55,1933
1732,King Kong (1976),2.77,1976
1733,King Kong Lives (1986),1.76,1986
1734,Desperately Seeking Susan (1985),2.93,1985
1735,"Emerald Forest, The (1985)",3.40,1985
1736,Fletch (1985),3.45,1985
1737,Fletch Lives (1989),2.87,1989
1738,Red Sonja (1985),2.42,1985
1739,Gung Ho (1986),2.89,1986
1740,"Money Pit, The (1986)",2.87,1986
1741,"View to a Kill, A (1985)",3.18,1985
1742,Lifeforce (1985),2.92,1985
1743,Police Academy (1984),2.92,1984
1744,Police Academy 2: Their First Assignment (1985),2.39,1985
1745,Police Academy 3: Back in Training (1986),2.17,1986
1746,Police Academy 4: Citizens on Patrol (1987),2.06,1987
1747,Police Academy 5: Assignment: Miami Beach (1988),1.89,1988
1748,Police Academy 6: City Under Siege (1989),1.79,1989
1749,Babe: Pig in the City (1998),2.98,1998
1750,Home Fries (1998),2.53,1998
1751,Jerry Springer: Ringmaster (1998),1.62,1998
1752,Very Bad Things (1998),2.82,1998
1753,Psycho (1998),2.75,1998
1754,Little Voice (1998),3.68,1998
1755,"Simple Plan, A (1998)",3.72,1998
1756,Jack Frost (1998),2.37,1998
1757,Star Trek: Insurrection (1998),3.20,1998
1758,"Prince of Egypt, The (1998)",3.42,1998
1759,Rushmore (1998),3.85,1998
1760,Shakespeare in Love (1998),3.84,1998
1761,Miracle on 34th Street (1947),3.75,1947
1762,Santa Claus: The Movie (1985),2.73,1985
1763,Prancer (1989),2.82,1989
1764,Pale Rider (1985),3.73,1985
1765,Rambo: First Blood Part II (1985),2.77,1985
1766,First Blood (Rambo: First Blood) (1982),3.54,1982
1767,Rambo III (1988),2.39,1988
1768,"Jewel of the Nile, The (1985)",3.13,1985
1769,Romancing the Stone (1984),3.48,1984
1770,Cocoon (1985),3.29,1985
1771,Cocoon: The Return (1988),2.48,1988
1772,Rocky II (1979),3.13,1979
1773,Rocky III (1982),2.90,1982
1774,Rocky IV (1985),2.79,1985
1775,Rocky V (1990),2.20,1990
1776,Clue (1985),3.44,1985
1777,Young Sherlock Holmes (1985),3.37,1985
1778,Back to School (1986),3.05,1986
1779,Heartburn (1986),2.94,1986
1780,Nothing in Common (1986),3.00,1986
1781,Extremities (1986),3.18,1986
1782,"Karate Kid, The (1984)",3.29,1984
1783,"Karate Kid, Part II, The (1986)",2.60,1986
1784,"Karate Kid, Part III, The (1989)",2.16,1989
1785,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),3.59,1989
1786,You've Got Mail (1998),3.14,1998
1787,"General, The (1998)",3.61,1998
1788,"Thin Red Line, The (1998)",3.41,1998
1789,"Faculty, The (1998)",2.82,1998
1790,Mighty Joe Young (1998),2.76,1998
1791,Mighty Joe Young (1949),3.11,1949
1792,Patch Adams (1998),3.11,1998
1793,Stepmom (1998),3.22,1998
1794,"Civil Action, A (1998)",3.34,1998
1795,Down in the Delta (1998),3.50,1998
1796,Hurlyburly (1998),2.96,1998
1797,Tea with Mussolini (1999),3.40,1999
1798,Wilde (1997),3.55,1997
1799,Affliction (1997),3.58,1997
1800,Another Day in Paradise (1998),3.19,1998
1801,Hilary and Jackie (1998),3.69,1998
1802,Playing by Heart (1998),3.55,1998
1803,At First Sight (1999),2.82,1999
1804,In Dreams (1999),2.69,1999
1805,Varsity Blues (1999),3.07,1999
1806,Virus (1999),2.34,1999
1807,"Garbage Pail Kids Movie, The (1987)",1.66,1987
1808,Howard the Duck (1986),2.13,1986
1809,"Gate, The (1987)",2.64,1987
1810,"Boy Who Could Fly, The (1986)",3.10,1986
1811,"Fly, The (1958)",3.33,1958
1812,"Fly, The (1986)",3.40,1986
1813,"Fly II, The (1989)",2.28,1989
1814,Running Scared (1986),3.35,1986
1815,Armed and Dangerous (1986),2.50,1986
1816,"Texas Chainsaw Massacre, The (1974)",3.21,1974
1817,"Texas Chainsaw Massacre 2, The (1986)",2.25,1986
1818,Leatherface: Texas Chainsaw Massacre III (1990),1.96,1990
1819,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),1.72,1994
1820,Ruthless People (1986),3.40,1986
1821,"Name of the Rose, The (Name der Rose, Der) (1986)",3.87,1986
1822,Jumpin' Jack Flash (1986),2.72,1986
1823,Peggy Sue Got Married (1986),3.17,1986
1824,Crocodile Dundee (1986),3.14,1986
1825,Crocodile Dundee II (1988),2.55,1988
1826,Tough Guys (1986),2.93,1986
1827,Soul Man (1986),2.40,1986
1828,"Color of Money, The (1986)",3.43,1986
1829,52 Pick-Up (1986),3.14,1986
1830,Heartbreak Ridge (1986),3.28,1986
1831,Firewalker (1986),2.42,1986
1832,¡Three Amigos! (1986),3.10,1986
1833,Gloria (1999),2.41,1999
1834,My Name Is Joe (1998),3.63,1998
1835,Still Crazy (1998),3.28,1998
1836,"Day of the Beast, The (Día de la Bestia, El) (1995)",3.44,1995
1837,She's All That (1999),2.99,1999
1838,Peeping Tom (1960),3.82,1960
1839,Payback (1999),3.41,1999
1840,Simply Irresistible (1999),2.71,1999
1841,20 Dates (1998),2.79,1998
1842,"Harmonists, The (1997)",3.75,1997
1843,"Fantastic Planet, The (Planète sauvage, La) (1973)",3.69,1973
1844,Blast from the Past (1999),3.21,1999
1845,Message in a Bottle (1999),2.86,1999
1846,My Favorite Martian (1999),2.33,1999
1847,God Said 'Ha!' (1998),3.45,1998
1848,Jawbreaker (1999),2.65,1999
1849,October Sky (1999),3.89,1999
1850,Office Space (1999),3.99,1999
1851,200 Cigarettes (1999),2.91,1999
1852,8MM (1999),2.96,1999
1853,"Other Sister, The (1999)",3.14,1999
1854,Breakfast of Champions (1999),2.62,1999
1855,"Long Goodbye, The (1973)",3.85,1973
1856,Pet Sematary (1989),2.96,1989
1857,Pet Sematary II (1992),2.12,1992
1858,Children of the Corn II: The Final Sacrifice (1993),1.83,1993
1859,Children of the Corn III (1994),1.72,1994
1860,Christine (1983),3.03,1983
1861,Night Shift (1982),3.33,1982
1862,House on Haunted Hill (1959),3.25,1959
1863,Airport (1970),3.04,1970
1864,Airport 1975 (1974),2.53,1974
1865,Airport '77 (1977),2.43,1977
1866,"Towering Inferno, The (1974)",2.99,1974
1867,Alligator (1980),2.31,1980
1868,Meteor (1979),2.42,1979
1869,Westworld (1973),3.43,1973
1870,Logan's Run (1976),3.44,1976
1871,Planet of the Apes (1968),3.62,1968
1872,Beneath the Planet of the Apes (1970),2.89,1970
1873,Battle for the Planet of the Apes (1973),2.77,1973
1874,Conquest of the Planet of the Apes (1972),2.81,1972
1875,Escape from the Planet of the Apes (1971),3.02,1971
1876,Earthquake (1974),2.69,1974
1877,"Concorde: Airport '79, The (1979)",2.00,1979
1878,Beyond the Poseidon Adventure (1979),1.97,1979
1879,Analyze This (1999),3.23,1999
1880,"Corruptor, The (1999)",2.99,1999
1881,Cruel Intentions (1999),3.27,1999
1882,"Lock, Stock & Two Smoking Barrels (1998)",3.99,1998
1883,"Deep End of the Ocean, The (1999)",2.99,1999
1884,"Rage: Carrie 2, The (1999)",2.21,1999
1885,Wing Commander (1999),2.16,1999
1886,"Haunting, The (1963)",3.61,1963
1887,Dead Ringers (1988),3.50,1988
1888,My Boyfriend's Back (1993),2.31,1993
1889,Village of the Damned (1960),3.41,1960
1890,Children of the Damned (1963),3.18,1963
1891,Baby Geniuses (1999),1.70,1999
1892,Forces of Nature (1999),2.73,1999
1893,"King and I, The (1999)",2.59,1999
1894,Ravenous (1999),3.24,1999
1895,True Crime (1999),3.10,1999
1896,Dangerous Beauty (1998),3.65,1998
1897,"King and I, The (1956)",3.77,1956
1898,Doug's 1st Movie (1999),2.26,1999
1899,EDtv (1999),3.05,1999
1900,"Mod Squad, The (1999)",2.15,1999
1901,"Walk on the Moon, A (1999)",3.64,1999
1902,"Matrix, The (1999)",4.19,1999
1903,10 Things I Hate About You (1999),3.47,1999
1904,Tango (1998),3.32,1998
1905,"Out-of-Towners, The (1999)",2.63,1999
1906,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",3.93,1998
1907,Following (1998),3.83,1998
1908,Go (1999),3.70,1999
1909,Never Been Kissed (1999),3.06,1999
1910,Twin Dragons (Shuang long hui) (1992),3.07,1992
1911,Cookie's Fortune (1999),3.62,1999
1912,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",3.82,1998
1913,Life (1999),2.93,1999
1914,Friends & Lovers (1999),2.77,1999
1915,Hideous Kinky (1998),3.18,1998
1916,"Monster, The (Mostro, Il) (1994)",3.57,1994
1917,Open Your Eyes (Abre los ojos) (1997),3.89,1997
1918,SLC Punk! (1998),3.62,1998
1919,Lost & Found (1999),2.52,1999
1920,Pushing Tin (1999),3.01,1999
1921,Election (1999),3.79,1999
1922,eXistenZ (1999),3.33,1999
1923,Entrapment (1999),3.14,1999
1924,Idle Hands (1999),2.76,1999
1925,Get Real (1998),3.81,1998
1926,"King of Masks, The (Bian Lian) (1996)",3.94,1996
1927,Three Seasons (1999),3.83,1999
1928,"Winslow Boy, The (1999)",3.85,1999
1929,Mildred Pierce (1945),3.95,1945
1930,Night of the Comet (1984),3.04,1984
1931,Chopping Mall (a.k.a. Killbots) (1986),1.96,1986
1932,My Science Project (1985),2.94,1985
1933,Dick Tracy (1990),2.73,1990
1934,"Mummy, The (1999)",3.17,1999
1935,"Castle, The (1997)",3.84,1997
1936,Xiu Xiu: The Sent-Down Girl (Tian yu) (1998),3.59,1998
1937,William Shakespeare's A Midsummer Night's Dream (1999),3.29,1999
1938,After Life (Wandafuru raifu) (1998),3.96,1998
1939,Black Mask (Hak hap) (1996),2.95,1996
1940,Edge of Seventeen (1998),3.63,1998
1941,Star Wars: Episode I - The Phantom Menace (1999),3.08,1999
1942,"Love Letter, The (1999)",2.70,1999
1943,Besieged (a.k.a. L' Assedio) (1998),3.53,1998
1944,"Mummy, The (1932)",3.35,1932
1945,"Mummy, The (1959)",3.10,1959
1946,Mommie Dearest (1981),3.15,1981
1947,Superman (1978),3.40,1978
1948,Superman II (1980),3.11,1980
1949,Superman III (1983),2.42,1983
1950,Superman IV: The Quest for Peace (1987),2.00,1987
1951,Dracula (1931),3.74,1931
1952,House of Frankenstein (1944),3.13,1944
1953,Frankenstein (1931),3.86,1931
1954,Son of Frankenstein (1939),3.24,1939
1955,Frankenstein Meets the Wolf Man (1943),3.07,1943
1956,"Wolf Man, The (1941)",3.60,1941
1957,Howling II: Your Sister Is a Werewolf (1985),1.71,1985
1958,Tarantula (1955),2.77,1955
1959,"Rocky Horror Picture Show, The (1975)",3.33,1975
1960,It Came from Hollywood (1982),3.23,1982
1961,"Thing from Another World, The (1951)",3.70,1951
1962,It Came from Outer Space (1953),3.22,1953
1963,"War of the Worlds, The (1953)",3.61,1953
1964,Invasion of the Body Snatchers (1956),3.77,1956
1965,Earth vs. the Flying Saucers (1956),3.16,1956
1966,Swamp Thing (1982),2.56,1982
1967,Pork Chop Hill (1959),3.54,1959
1968,Run Silent Run Deep (1958),3.90,1958
1969,Notting Hill (1999),3.45,1999
1970,"Thirteenth Floor, The (1999)",3.28,1999
1971,Instinct (1999),3.13,1999
1972,Buena Vista Social Club (1999),3.95,1999
1973,Free Enterprise (1998),3.36,1998
1974,Limbo (1999),3.80,1999
1975,Austin Powers: The Spy Who Shagged Me (1999),3.21,1999
1976,"Red Violin, The (Violon rouge, Le) (1998)",3.91,1998
1977,Tarzan (1999),3.46,1999
1978,"General's Daughter, The (1999)",3.07,1999
1979,"Ideal Husband, An (1999)",3.75,1999
1980,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",3.60,1998
1981,Run Lola Run (Lola rennt) (1998),4.03,1998
1982,Trekkies (1997),3.65,1997
1983,Big Daddy (1999),3.12,1999
1984,"Dinner Game, The (Dîner de cons, Le) (1998)",3.81,1998
1985,My Son the Fanatic (1997),3.62,1997
1986,Arachnophobia (1990),2.79,1990
1987,"South Park: Bigger, Longer and Uncut (1999)",3.63,1999
1988,Wild Wild West (1999),2.29,1999
1989,Summer of Sam (1999),3.08,1999
1990,"Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991)",3.44,1991
1991,American Pie (1999),3.33,1999
1992,Arlington Road (1999),3.45,1999
1993,"Autumn Tale, An (Conte d'automne) (1998)",3.70,1998
1994,Muppets From Space (1999),3.11,1999
1995,"Blair Witch Project, The (1999)",2.88,1999
1996,My Life So Far (1999),3.52,1999
1997,Eyes Wide Shut (1999),3.21,1999
1998,Lake Placid (1999),2.52,1999
1999,"Wood, The (1999)",3.18,1999
2000,Ghostbusters (a.k.a. Ghost Busters) (1984),3.75,1984
2001,Ghostbusters II (1989),2.98,1989
2002,Drop Dead Gorgeous (1999),3.17,1999
2003,"Haunting, The (1999)",2.45,1999
2004,Inspector Gadget (1999),2.13,1999
2005,Trick (1999),3.61,1999
2006,Deep Blue Sea (1999),2.68,1999
2007,Mystery Men (1999),3.05,1999
2008,Runaway Bride (1999),2.86,1999
2009,Twin Falls Idaho (1999),3.57,1999
2010,"Killing, The (1956)",4.10,1956
2011,Killer's Kiss (1955),3.37,1955
2012,Spartacus (1960),3.86,1960
2013,Lolita (1962),3.84,1962
2014,Barry Lyndon (1975),3.79,1975
2015,"400 Blows, The (Les quatre cents coups) (1959)",4.14,1959
2016,Jules and Jim (Jules et Jim) (1961),3.99,1961
2017,Vibes (1988),2.40,1988
2018,"Mosquito Coast, The (1986)",3.31,1986
2019,"Golden Child, The (1986)",2.87,1986
2020,Brighton Beach Memoirs (1986),3.45,1986
2021,Crimes of the Heart (1986),3.39,1986
2022,"Color Purple, The (1985)",3.74,1985
2023,No Mercy (1986),2.88,1986
2024,"Mission, The (1986)",3.81,1986
2025,Little Shop of Horrors (1986),3.29,1986
2026,"Little Shop of Horrors, The (1960)",3.23,1960
2027,Allan Quatermain and the Lost City of Gold (1987),2.22,1987
2028,"Morning After, The (1986)",3.16,1986
2029,Radio Days (1987),3.70,1987
2030,From the Hip (1987),3.00,1987
2031,Outrageous Fortune (1987),2.90,1987
2032,"Bedroom Window, The (1987)",3.19,1987
2033,Frances (1982),3.68,1982
2034,Dick (1999),3.28,1999
2035,"Iron Giant, The (1999)",3.85,1999
2036,"Sixth Sense, The (1999)",4.05,1999
2037,"Thomas Crown Affair, The (1999)",3.50,1999
2038,"Thomas Crown Affair, The (1968)",3.54,1968
2039,"Adventures of Sebastian Cole, The (1998)",3.25,1998
2040,Illuminata (1998),2.98,1998
2041,"Yards, The (2000)",3.13,2000
2042,Bowfinger (1999),3.08,1999
2043,Brokedown Palace (1999),2.98,1999
2044,Detroit Rock City (1999),3.13,1999
2045,Better Than Chocolate (1999),3.33,1999
2046,Heaven Can Wait (1978),3.55,1978
2047,"Raven, The (1963)",3.22,1963
2048,"Tingler, The (1959)",3.12,1959
2049,"Pit and the Pendulum, The (1961)",3.38,1961
2050,"Masque of the Red Death, The (1964)",3.36,1964
2051,Haunted Honeymoon (1986),2.52,1986
2052,Cat's Eye (1985),2.96,1985
2053,Monty Python's And Now for Something Completely Different (1971),3.99,1971
2054,Damien: Omen II (1978),2.88,1978
2055,"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",2.64,1981
2056,Airplane! (1980),3.80,1980
2057,Airplane II: The Sequel (1982),3.05,1982
2058,"American Werewolf in Paris, An (1997)",2.65,1997
2059,European Vacation (aka National Lampoon's European Vacation) (1985),2.95,1985
2060,National Lampoon's Vacation (1983),3.79,1983
2061,Funny Farm (1988),2.90,1988
2062,Big (1988),3.62,1988
2063,Problem Child (1990),2.06,1990
2064,Problem Child 2 (1991),1.76,1991
2065,Little Nemo: Adventures in Slumberland (1992),3.09,1992
2066,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),3.39,1997
2067,Tequila Sunrise (1988),3.01,1988
2068,"Pelican Brief, The (1993)",3.31,1993
2069,"Christmas Story, A (1983)",4.03,1983
2070,Mickey Blue Eyes (1999),2.84,1999
2071,Teaching Mrs. Tingle (1999),2.45,1999
2072,Universal Soldier: The Return (1999),1.79,1999
2073,Universal Soldier (1992),2.55,1992
2074,Love Stinks (1999),2.53,1999
2075,Perfect Blue (1997),3.80,1997
2076,In Too Deep (1999),3.01,1999
2077,Iron Eagle (1986),2.58,1986
2078,Iron Eagle II (1988),1.84,1988
2079,Aces: Iron Eagle III (1992),1.68,1992
2080,Iron Eagle IV (1995),1.59,1995
2081,Three Days of the Condor (3 Days of the Condor) (1975),3.97,1975
2082,Hamlet (1964),3.63,1964
2083,Medicine Man (1992),3.00,1992
2084,"13th Warrior, The (1999)",3.11,1999
2085,"Astronaut's Wife, The (1999)",2.46,1999
2086,Dudley Do-Right (1999),2.00,1999
2087,"Muse, The (1999)",2.79,1999
2088,Chill Factor (1999),2.32,1999
2089,Outside Providence (1999),3.26,1999
2090,Stigmata (1999),3.01,1999
2091,Stir of Echoes (1999),3.52,1999
2092,Best Laid Plans (1999),3.20,1999
2093,"Black Cat, White Cat (Crna macka, beli macor) (1998)",4.03,1998
2094,"Minus Man, The (1999)",3.08,1999
2095,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",3.24,1986
2096,Only Angels Have Wings (1939),3.84,1939
2097,"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",3.76,1952
2098,Saturn 3 (1980),2.50,1980
2099,"Soldier's Story, A (1984)",3.79,1984
2100,I Saw What You Did (1965),2.78,1965
2101,Yellow Submarine (1968),3.59,1968
2102,American Beauty (1999),4.16,1999
2103,Stop Making Sense (1984),4.13,1984
2104,Blue Streak (1999),3.05,1999
2105,For Love of the Game (1999),3.11,1999
2106,Caligula (1979),2.57,1979
2107,"Hard Day's Night, A (1964)",3.84,1964
2108,"Buddy Holly Story, The (1978)",3.61,1978
2109,Fright Night (1985),3.33,1985
2110,Fright Night Part II (1988),2.37,1988
2111,Barefoot in the Park (1967),3.58,1967
2112,Deliverance (1972),3.82,1972
2113,Excalibur (1981),3.60,1981
2114,"Pajama Game, The (1957)",3.36,1957
2115,Sommersby (1993),3.09,1993
2116,Thumbelina (1994),2.76,1994
2117,Tommy (1975),3.07,1975
2118,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),3.32,1991
2119,Armour of God (Long xiong hu di) (1987),3.22,1987
2120,Double Jeopardy (1999),3.17,1999
2121,Jakob the Liar (1999),2.78,1999
2122,Mumford (1999),3.44,1999
2123,Dog Park (1998),2.50,1998
2124,Guinevere (1999),3.26,1999
2125,"Adventures of Elmo in Grouchland, The (1999)",2.29,1999
2126,Drive Me Crazy (1999),2.75,1999
2127,"Mystery, Alaska (1999)",3.31,1999
2128,Three Kings (1999),3.61,1999
2129,"Happy, Texas (1999)",3.39,1999
2130,Plunkett & MaCleane (1999),2.99,1999
2131,Romance (1999),2.77,1999
2132,"Dark Half, The (1993)",2.79,1993
2133,Gulliver's Travels (1939),3.34,1939
2134,Monkey Shines (1988),2.68,1988
2135,Phantasm (1979),3.17,1979
2136,Psycho II (1983),2.52,1983
2137,Psycho III (1986),2.06,1986
2138,Sanjuro (Tsubaki Sanjûrô) (1962),4.12,1962
2139,Random Hearts (1999),2.41,1999
2140,Superstar (1999),2.52,1999
2141,Boys Don't Cry (1999),3.81,1999
2142,"Limey, The (1999)",3.63,1999
2143,Risky Business (1983),3.52,1983
2144,Total Recall (1990),3.57,1990
2145,Body Heat (1981),3.94,1981
2146,Ferris Bueller's Day Off (1986),3.94,1986
2147,"Year of Living Dangerously, The (1982)",3.92,1982
2148,Children of Paradise (Les enfants du paradis) (1945),4.12,1945
2149,High Plains Drifter (1973),3.83,1973
2150,Hang 'Em High (1968),3.64,1968
2151,Drunken Master (Jui kuen) (1978),3.82,1978
2152,"Conformist, The (Conformista, Il) (1970)",4.05,1970
2153,Hairspray (1988),3.34,1988
2154,Brief Encounter (1946),3.99,1946
2155,"Razor's Edge, The (1984)",3.31,1984
2156,Reds (1981),3.51,1981
2157,Time of the Gypsies (Dom za vesanje) (1989),4.01,1989
2158,Days of Heaven (1978),3.97,1978
2159,"Lady Eve, The (1941)",4.13,1941
2160,Sullivan's Travels (1941),4.05,1941
2161,"Palm Beach Story, The (1942)",4.09,1942
2162,Man Facing Southeast (Hombre mirando al sudeste) (1986),3.89,1986
2163,Niagara (1953),3.47,1953
2164,Gilda (1946),3.92,1946
2165,South Pacific (1958),3.53,1958
2166,Flashdance (1983),2.94,1983
2167,Indochine (1992),3.69,1992
2168,"Dirty Dozen, The (1967)",3.85,1967
2169,Help! (1965),3.73,1965
2170,Goldfinger (1964),3.74,1964
2171,From Russia with Love (1963),3.70,1963
2172,Dr. No (1962),3.69,1962
2173,"Blue Lagoon, The (1980)",2.51,1980
2174,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",3.94,1964
2175,Sydney (Hard Eight) (1996),3.73,1996
2176,Home Alone 2: Lost in New York (1992),2.50,1992
2177,Someone to Watch Over Me (1987),3.15,1987
2178,Fight Club (1999),4.23,1999
2179,"Story of Us, The (1999)",2.87,1999
2180,Fever Pitch (1997),3.31,1997
2181,"Omega Code, The (1999)",2.00,1999
2182,"Straight Story, The (1999)",3.95,1999
2183,"Bad Seed, The (1956)",3.71,1956
2184,Time Bandits (1981),3.59,1981
2185,"Man and a Woman, A (Un homme et une femme) (1966)",3.85,1966
2186,Fitzcarraldo (1982),3.95,1982
2187,All That Jazz (1979),3.77,1979
2188,Red Sorghum (Hong gao liang) (1987),3.90,1987
2189,Crimes and Misdemeanors (1989),4.02,1989
2190,Bats (1999),1.79,1999
2191,"Best Man, The (1999)",3.16,1999
2192,Bringing Out the Dead (1999),3.18,1999
2193,Crazy in Alabama (1999),2.70,1999
2194,Three to Tango (1999),2.91,1999
2195,Body Shots (1999),2.33,1999
2196,"Ipcress File, The (1965)",3.82,1965
2197,RoboCop (1987),3.31,1987
2198,RoboCop 2 (1990),2.43,1990
2199,Who Framed Roger Rabbit? (1988),3.53,1988
2200,Melvin and Howard (1980),3.63,1980
2201,For Your Eyes Only (1981),3.45,1981
2202,Licence to Kill (1989),3.20,1989
2203,Live and Let Die (1973),3.49,1973
2204,Thunderball (1965),3.62,1965
2205,House on Haunted Hill (1999),2.52,1999
2206,Music of the Heart (1999),3.34,1999
2207,Being John Malkovich (1999),3.95,1999
2208,Princess Mononoke (Mononoke-hime) (1997),4.10,1997
2209,My Best Fiend (Mein liebster Feind) (1999),3.84,1999
2210,"Bachelor, The (1999)",2.52,1999
2211,"Bone Collector, The (1999)",3.28,1999
2212,"Insider, The (1999)",3.93,1999
2213,American Movie (1999),3.91,1999
2214,Last Night (1998),3.77,1998
2215,Rosetta (1999),3.53,1999
2216,"They Shoot Horses, Don't They? (1969)",3.68,1969
2217,Bride of Re-Animator (1990),2.89,1990
2218,Coma (1978),3.32,1978
2219,Creepshow (1982),3.19,1982
2220,Creepshow 2 (1987),2.68,1987
2221,Re-Animator (1985),3.48,1985
2222,Drugstore Cowboy (1989),3.86,1989
2223,Falling Down (1993),3.57,1993
2224,"General, The (1926)",4.16,1926
2225,Piranha (1978),2.30,1978
2226,"Taming of the Shrew, The (1967)",3.63,1967
2227,Nighthawks (1981),3.08,1981
2228,Yojimbo (1961),4.21,1961
2229,Repossessed (1990),2.25,1990
2230,"Omega Man, The (1971)",3.43,1971
2231,Spaceballs (1987),3.40,1987
2232,Robin Hood (1973),3.68,1973
2233,Mister Roberts (1955),4.05,1955
2234,"Quest for Fire (Guerre du feu, La) (1981)",3.26,1981
2235,Little Big Man (1970),3.98,1970
2236,"Face in the Crowd, A (1957)",4.05,1957
2237,Trading Places (1983),3.74,1983
2238,Meatballs (1979),3.17,1979
2239,Meatballs Part II (1984),1.76,1984
2240,Meatballs III (1987),1.58,1987
2241,Dead Again (1991),3.75,1991
2242,Peter's Friends (1992),3.23,1992
2243,"Incredibly True Adventure of Two Girls in Love, The (1995)",3.45,1995
